u,v,key,length,highway,name,coordinates,가로수
436776274,3369302112,0,95.19056806581672,service,경희대로,"[[127.0526491, 37.5931834], [127.0519291, 37.5932698], [127.0518778, 37.5932632], [127.0518231, 37.5930293]]",True
436818221,7617559799,0,16.94064581607717,residential,고산자로30길,"[[127.0381678, 37.5759452], [127.0383595, 37.5759339]]",True
436818221,7617559796,0,8.321614127091909,residential,고산자로29길,"[[127.0381678, 37.5759452], [127.0380734, 37.5759434]]",True
436818221,3830519512,0,60.084131750157134,primary,고산자로,"[[127.0381678, 37.5759452], [127.0381518, 37.575405]]",True
436818221,490631657,0,85.22012356246061,primary,고산자로,"[[127.0381678, 37.5759452], [127.0382147, 37.5767107]]",True
436818224,7617572271,0,16.399926345756032,residential,고산자로34길,"[[127.0382702, 37.5775767], [127.0384561, 37.5775699]]",True
436818224,7617572274,0,13.069775122079232,residential,고산자로33길,"[[127.0382702, 37.5775767], [127.0381219, 37.577578]]",True
436818224,7617572242,0,15.186698863961238,primary,고산자로,"[[127.0382702, 37.5775767], [127.0382918, 37.5777122]]",True
436818224,490631657,0,96.41907301063029,primary,고산자로,"[[127.0382702, 37.5775767], [127.0382147, 37.5767107]]",True
436818226,5321180876,0,14.148410254771932,primary,왕산로,"[[127.0383515, 37.5781279], [127.0385119, 37.5781334]]",True
436818226,12234274177,0,3.621096369515175,primary,고산자로,"[[127.0383515, 37.5781279], [127.0383541, 37.5781604]]",False
436818226,5321180880,0,18.14534714758003,primary,왕산로,"[[127.0383515, 37.5781279], [127.0381456, 37.5781267]]",True
436818226,5321180877,0,10.132189707181222,primary,고산자로,"[[127.0383515, 37.5781279], [127.0383435, 37.578037]]",False
436818245,7617572136,0,19.055053282227124,primary,고산자로,"[[127.038378, 37.5865683], [127.0384561, 37.5864085]]",True
436818245,7617572130,0,22.009230208003853,primary,고산자로,"[[127.038378, 37.5865683], [127.0382685, 37.5867462]]",True
436818245,7617572133,0,31.61745810642843,secondary,제기로,"[[127.038378, 37.5865683], [127.0387366, 37.5865783]]",True
436818245,7617572127,0,16.620217158666414,secondary,제기로,"[[127.038378, 37.5865683], [127.0381894, 37.5865661]]",True
436818258,7617572105,0,20.94319252352727,primary,고산자로,"[[127.0375, 37.58788], [127.0376223, 37.5877185]]",True
436818258,7617490477,0,22.71832553753868,residential,고산자로58길,"[[127.0375, 37.58788], [127.0375902, 37.5880714]]",True
436818258,436818260,0,65.53161008097175,primary,고산자로,"[[127.0375, 37.58788], [127.0374907, 37.5878938], [127.03715, 37.5884]]",True
436818260,7617490480,0,15.945308788639988,residential,고산자로60길,"[[127.03715, 37.5884], [127.0370787, 37.5882682]]",False
436818260,7617490476,0,18.048880725524167,residential,고산자로60길,"[[127.03715, 37.5884], [127.0372261, 37.5885507]]",False
436818260,3828715899,0,105.76298089835396,primary,고산자로,"[[127.03715, 37.5884], [127.0370439, 37.5885568], [127.0369943, 37.5886345], [127.0366035, 37.5892468]]",True
436818260,436818258,0,65.53161008097175,primary,고산자로,"[[127.03715, 37.5884], [127.0374907, 37.5878938], [127.0375, 37.58788]]",True
436833485,12435755993,0,15.980671578802344,residential,답십리로59길,"[[127.0655747, 37.5727571], [127.0656741, 37.5728773]]",True
436833512,436833513,0,53.60662481287319,secondary,답십리로,"[[127.04327, 37.57836], [127.04295, 37.57877]]",True
436833512,11813171096,0,134.2104098822258,residential,고산자로32길,"[[127.04327, 37.57836], [127.0428596, 37.5781457], [127.0420732, 37.5776167]]",True
436833512,11813154283,0,59.47031827668219,secondary,답십리로,"[[127.04327, 37.57836], [127.0433, 37.57834], [127.04367, 37.57807], [127.0437738, 37.5780045]]",True
436833513,3830519940,0,116.56303546916902,residential,고산자로34길,"[[127.04295, 37.57877], [127.0417139, 37.5783969]]",True
